Date,Observer_mortality,Starting_time,Water_temperature_holding_tank,Temperature_assay,Duration_exposure_hours,Tank,Mortality_after_trial,Mortality_the_next_day,N_individuals_after_trial,N_individuals_after_recovery,Total_Sample_body_mass_g,Time_next_day_measured,Notes
22/06/2025,PP/MT/RE,12:05,16.4,30,0.5,1,0,0,11,11,1.8,8:50,NA
22/06/2025,PP/MT/RE,12:05,16.4,30,0.75,1,0,0,10,10,1.6,8:50,NA
22/06/2025,PP/MT/RE,11:50,16.4,30,1,1,0,0,10,9,1.6,8:50,NA
22/06/2025,PP/MT/RE,11:50,16.4,30,2,1,0.090909091,0.090909091,11,11,2.2,8:50,NA
22/06/2025,PP/MT/RE,11:36,16.4,30,4,1,0.5,0.5,10,10,1.7,8:50,NA
22/06/2025,PP/MT/RE,11:36,16.4,30,6,1,0.3,0.3,10,10,2.2,8:50,NA
22/06/2025,PP/MT/RE,12:05,16.4,30.5,0.5,2,0,0,10,10,2,8:50,NA
22/06/2025,PP/MT/RE,12:05,16.4,30.5,0.75,2,0,0,10,10,2.7,8:50,NA
22/06/2025,PP/MT/RE,11:50,16.4,30.5,1,2,0,0.1,10,10,2.4,8:50,NA
22/06/2025,PP/MT/RE,11:50,16.4,30.5,2,2,0.2,0.2,10,10,2.2,8:50,NA
22/06/2025,PP/MT/RE,11:36,16.4,30.5,4,2,0.5,0.5,10,10,2.4,8:50,NA
22/06/2025,PP/MT/RE,11:36,16.4,30.5,6,2,0.7,0.7,10,10,2.5,8:50,NA
22/06/2025,PP/MT/RE,12:05,16.4,31,0.5,3,0,0.1,10,10,2.5,8:50,NA
22/06/2025,PP/MT/RE,12:05,16.4,31,0.75,3,0.1,0.1,10,10,1.2,8:50,NA
22/06/2025,PP/MT/RE,11:50,16.4,31,1,3,0,0,10,10,2,8:50,NA
22/06/2025,PP/MT/RE,11:50,16.4,31,2,3,0.272727273,0.272727273,11,11,2.7,8:50,NA
22/06/2025,PP/MT/RE,11:36,16.4,31,4,3,0.7,0.7,10,10,2,8:50,NA
22/06/2025,PP/MT/RE,11:36,16.4,31,6,3,0.9,0.8,10,10,1.9,8:50,NA
22/06/2025,PP/MT/RE,12:05,16.4,31.5,0.5,4,0.2,0.2,10,10,1.6,8:50,NA
22/06/2025,PP/MT/RE,12:05,16.4,31.5,0.75,4,0.2,0.2,10,10,2.7,8:50,NA
22/06/2025,PP/MT/RE,11:50,16.4,31.5,1,4,0.1,0.2,10,10,1.4,8:50,NA
22/06/2025,PP/MT/RE,11:50,16.4,31.5,2,4,0.4,0.5,10,10,1.4,8:50,NA
22/06/2025,PP/MT/RE,11:36,16.4,31.5,4,4,0.9,0.9,10,10,1.8,8:50,NA
22/06/2025,PP/MT/RE,11:36,16.4,31.5,6,4,1,1,11,11,1.9,8:50,NA
22/06/2025,PP/LP,15:39,16.1,32,0.5,5,0.272727273,0.181818182,11,11,1.7,8:50,One of the cups was removed at the wrong time. This is the data from a second replicate done this day.
22/06/2025,PP/MT/RE,12:05,16.4,32,0.75,5,0.777777778,0.777777778,9,9,2.2,8:50,NA
22/06/2025,PP/MT/RE,11:50,16.4,32,1,5,0.636363636,0.727272727,11,11,2.4,8:50,NA
22/06/2025,PP/MT/RE,11:50,16.4,32,2,5,1,1,10,10,3,8:50,NA
23/06/2025,PP/LP,12:40,16.1,32,4,5,1,1,10,10,1.6,8:30,Cup removed at the wrong time on 22/06. Done on 23/06 instead.
22/06/2025,PP/MT/RE,11:36,16.4,32,6,5,1,1,10,10,2.4,8:50,NA
22/06/2025,PP/MT/RE,12:05,16.4,32.5,0.5,6,0.9,0.666666667,10,9,1.9,8:50,NA
22/06/2025,PP/MT/RE,12:05,16.4,32.5,0.75,6,0.9,0.9,10,10,1.6,8:50,NA
22/06/2025,PP/MT/RE,11:50,16.4,32.5,1,6,0.727272727,0.727272727,11,11,1.6,8:50,2 very small shrimps in this sample.
22/06/2025,PP/MT/RE,11:50,16.4,32.5,2,6,1,1,11,11,1.8,8:50,NA
22/06/2025,PP/MT/RE,11:36,16.4,32.5,4,6,1,1,10,10,2.2,8:50,NA
22/06/2025,PP/MT/RE,11:36,16.4,32.5,6,6,1,1,11,11,1.3,8:50,NA
22/06/2025,PP/LP,15:39,16.4,30,0.5,1,0,0,11,11,2.6,8:50,Second replicate within the same trial day.
23/06/2025,PP/LP,15:13,16.1,30,0.75,1,0,0,10,9,1.5,8:30,NA
23/06/2025,PP/LP,15:10,16.1,30,1,1,0.1,0.1,10,10,2.4,8:30,NA
23/06/2025,PP/LP,13:17,16.1,30,2,1,0.3,0.3,10,10,3.1,8:30,NA
23/06/2025,PP/LP,12:40,16.1,30,4,1,0.5,0.6,10,10,2.2,8:30,NA
23/06/2025,PP/LP,12:35,16.1,30,6,1,0.666666667,0.666666667,9,9,2.4,8:30,NA
22/06/2025,PP/LP,15:39,16.4,30.5,0.5,2,0,0,10,10,2.3,8:50,Second replicate within the same trial day.
23/06/2025,PP/LP,15:13,16.1,30.5,0.75,2,0,0,10,10,2.4,8:30,NA
23/06/2025,PP/LP,15:10,16.1,30.5,1,2,0,0,10,10,1.8,8:30,NA
23/06/2025,PP/LP,13:17,16.1,30.5,2,2,0.3,0.4,10,10,2.4,8:30,NA
23/06/2025,PP/LP,12:40,16.1,30.5,4,2,0.8,1,10,10,4.1,8:30,NA
23/06/2025,PP/LP,12:35,16.1,30.5,6,2,1,1,10,10,3.5,8:30,NA
22/06/2025,PP/LP,15:39,16.4,31,0.5,3,0.1,0.111111111,10,9,2.2,8:50,Second replicate within the same trial day.
23/06/2025,PP/LP,15:13,16.1,31,0.75,3,0,0,11,11,1.8,8:30,NA
23/06/2025,PP/LP,15:10,16.1,31,1,3,0.1,0.1,10,10,1.5,8:30,NA
23/06/2025,PP/LP,13:17,16.1,31,2,3,0.2,0.555555556,10,9,2,8:30,NA
23/06/2025,PP/LP,12:40,16.1,31,4,3,0.75,0.75,12,12,2.7,8:30,NA
23/06/2025,PP/LP,12:35,16.1,31,6,3,1,1,10,10,2.1,8:30,NA
22/06/2025,PP/LP,15:39,16.4,31.5,0.5,4,0.2,0.2,10,10,2.3,8:50,Second replicate within the same trial day.
23/06/2025,PP/LP,15:13,16.1,31.5,0.75,4,0.1,0.1,10,10,2.8,8:30,NA
23/06/2025,PP/LP,15:10,16.1,31.5,1,4,0,0.1,10,10,1.7,8:30,NA
23/06/2025,PP/LP,13:17,16.1,31.5,2,4,0.5,0.3,10,10,1.8,8:30,NA
23/06/2025,PP/LP,12:40,16.1,31.5,4,4,0.909090909,1,11,11,3.6,8:30,NA
23/06/2025,PP/LP,12:35,16.1,31.5,6,4,1,1,10,10,1.6,8:30,NA
22/06/2025,PP/LP,15:39,16.4,32,0.5,5,0.272727273,0.181818182,11,11,1.7,8:50,Second replicate within the same trial day.
23/06/2025,PP/LP,15:13,16.1,32,0.75,5,0.4,0.3,10,10,1.8,8:30,NA
23/06/2025,PP/LP,15:10,16.1,32,1,5,0.5,0.6,10,10,1.9,8:30,NA
23/06/2025,PP/LP,13:17,16.1,32,2,5,1,1,10,10,1.6,8:30,NA
23/06/2025,PP/LP,12:40,16.1,32,4,5,1,1,10,10,2.6,8:30,Second replicate within the same trial day.
23/06/2025,PP/LP,12:35,16.1,32,6,5,1,1,10,10,1.3,8:30,NA
22/06/2025,PP/LP,15:39,16.4,32.5,0.5,6,0.7,0.6,10,10,1.3,8:50,Second replicate within the same trial day.
23/06/2025,PP/LP,15:13,16.1,32.5,0.75,6,0.9,0.9,10,10,1.6,8:30,NA
23/06/2025,PP/LP,15:10,16.1,32.5,1,6,0.8,0.8,10,10,2.3,8:30,NA
23/06/2025,PP/LP,13:17,16.1,32.5,2,6,1,1,11,11,2.2,8:30,NA
23/06/2025,PP/LP,12:40,16.1,32.5,4,6,1,1,11,11,1.7,8:30,NA
23/06/2025,PP/LP,12:35,16.1,32.5,6,6,1,1,10,10,1.3,8:30,NA
23/06/2025,PP/LP,15:39,16.1,30,0.5,6,0,0,10,11,2.2,8:30,NA
23/06/2025,PP/LP,15:13,16.1,30,0.75,6,0,0,10,10,2.2,8:30,Second replicate within the same trial day.
30/06/2025,PP,11:27,16.8,30,1,6,0.1,0.2,10,10,1.74,9:20,NA
30/06/2025,PP,11:13,16.8,30,2,6,0.3,0.4,10,10,1.89,9:20,NA
30/06/2025,PP,10:58,16.8,30,4,6,0.4,0.4,10,10,1.53,9:20,NA
30/06/2025,PP,10:47,16.8,30,6,6,0.8,0.8,10,10,1.81,9:20,NA
23/06/2025,PP/LP,15:39,16.1,30.5,0.5,5,0,0,10,10,3.7,8:30,NA
23/06/2025,PP/LP,15:13,16.1,30.5,0.75,5,0.2,0.2,10,10,2.6,8:30,Second replicate within the same trial day.
30/06/2025,PP,11:27,16.8,30.5,1,5,0.272727273,0.363636364,11,11,1.64,9:20,NA
30/06/2025,PP,11:13,16.8,30.5,2,5,0.1,0.1,10,10,1.62,9:20,NA
30/06/2025,PP,10:58,16.8,30.5,4,5,0.7,0.8,10,10,1.68,9:20,NA
30/06/2025,PP,10:47,16.8,30.5,6,5,0.9,1,10,10,1.43,9:20,NA
23/06/2025,PP/LP,15:39,16.1,31,0.5,4,0.1,0.1,10,10,2.6,8:30,NA
23/06/2025,PP/LP,15:13,16.1,31,0.75,4,0,0,10,10,2.7,8:30,Second replicate within the same trial day.
30/06/2025,PP,11:27,16.8,31,1,4,0.2,0.2,10,10,1.64,9:20,NA
30/06/2025,PP,11:13,16.8,31,2,4,0.3,0.3,10,10,1.74,9:20,NA
30/06/2025,PP,10:58,16.8,31,4,4,0.9,0.9,10,10,1.44,9:20,NA
30/06/2025,PP,10:47,16.8,31,6,4,1,1,10,10,1.29,9:20,NA
23/06/2025,PP/LP,15:39,16.1,31.5,0.5,3,0.166666667,0.166666667,12,12,2.2,8:30,NA
23/06/2025,PP/LP,15:13,16.1,31.5,0.75,3,0.4,0.4,10,10,2.3,8:30,Second replicate within the same trial day.
30/06/2025,PP,11:27,16.8,31.5,1,3,0.1,0.3,10,10,1.64,9:20,NA
30/06/2025,PP,11:13,16.8,31.5,2,3,0.3,0.4,10,10,1.55,9:20,NA
30/06/2025,PP,10:58,16.8,31.5,4,3,1,1,10,10,2.28,9:20,NA
30/06/2025,PP,10:47,16.8,31.5,6,3,1,1,10,10,1.05,9:20,NA
23/06/2025,PP/LP,15:39,16.1,32,0.5,2,0.6,0.666666667,10,9,2.2,8:30,NA
23/06/2025,PP/LP,15:13,16.1,32,0.75,2,0.9,1,10,10,2.8,8:30,Second replicate within the same trial day.
30/06/2025,PP,11:27,16.8,32,1,2,0.4,0.4,10,10,1.58,9:20,NA
30/06/2025,PP,11:13,16.8,32,2,2,0.8,1,10,10,2.19,9:20,NA
30/06/2025,PP,10:58,16.8,32,4,2,1,1,10,10,2.44,9:20,NA
30/06/2025,PP,10:47,16.8,32,6,2,1,1,10,10,1.83,9:20,NA
23/06/2025,PP/LP,15:39,16.1,32.5,0.5,1,0.181818182,0.181818182,11,11,1.5,8:30,NA
23/06/2025,PP/LP,15:39,16.1,32.5,0.75,1,0,1,9,9,2,8:30,Second replicate within the same trial day.
30/06/2025,PP,11:27,16.8,32.5,1,1,0.9,1,10,10,1.69,9:20,NA
30/06/2025,PP,11:13,16.8,32.5,2,1,1,1,10,10,1.9,9:20,NA
30/06/2025,PP,10:58,16.8,32.5,4,1,1,1,10,10,2.06,9:20,NA
30/06/2025,PP,10:47,16.8,32.5,6,1,1,1,10,10,1.89,9:20,NA
29/06/2025,PP/ET/AB,14:58,16.7,33,0.5,3,0.9,0.8,10,10,1.76,9:05,NA
29/06/2025,PP/ET/AB,14:58,16.7,33,0.75,3,1,0.9,10,10,1.86,9:05,NA
29/06/2025,PP/ET/AB,14:46,16.7,33,1,3,1,1,10,10,1.57,9:05,NA
29/06/2025,PP/ET/AB,14:46,16.7,33,2,3,1,1,10,10,1.39,9:05,NA
29/06/2025,PP/ET/AB,14:58,16.7,33,0.5,4,0.9,0.9,10,10,2.28,9:05,NA
29/06/2025,PP/ET/AB,14:58,16.7,33,0.75,4,1,1,10,10,2.63,9:05,Second replicate within the same trial day.
29/06/2025,PP/ET/AB,14:46,16.7,33,1,4,1,1,10,10,2.15,9:05,Second replicate within the same trial day.
29/06/2025,PP/ET/AB,14:46,16.7,33,2,4,1,1,10,10,2.19,9:05,Second replicate within the same trial day.
29/06/2025,PP/ET/AB,14:58,16.7,33,0.5,5,1,1,10,10,1.46,9:05,Third replicate within the same trial day
29/06/2025,PP/ET/AB,14:58,16.7,33,0.75,5,1,1,10,10,1.91,9:05,Third replicate within the same trial day
29/06/2025,PP/ET/AB,14:46,16.7,33,1,5,1,1,10,10,1.91,9:05,Third replicate within the same trial day
29/06/2025,PP/ET/AB,14:46,16.7,33,2,5,1,1,10,10,1.68,9:05,Third replicate within the same trial day
29/06/2025,PP/ET/AB,17:34,16.7,33,0.25,3,0.9,0.3,10,10,1.89,9:05,NA
29/06/2025,PP/ET/AB,17:34,16.7,33,0.25,4,0.7,0.4,10,10,1.64,9:05,Second replicate within the same trial day.
29/06/2025,PP/ET/AB,17:34,16.7,33,0.25,5,0.8,0.7,10,10,1.52,9:05,Third replicate within the same trial day
29/06/2025,PP/ET/AB,18:09,16.7,33,0.083333333,3,0.3,0.1,10,10,1.8,9:05,NA
29/06/2025,PP/ET/AB,18:09,16.7,33,0.083333333,4,0.6,0.6,10,10,1.68,9:05,Second replicate within the same trial day.
29/06/2025,PP/ET/AB,18:09,16.7,33,0.083333333,5,0.2,0.2,10,10,1.76,9:05,Third replicate within the same trial day
30/06/2025,PP,12:35,16.8,30,0.5,6,0,0.1,10,10,1.49,9:20,NA
30/06/2025,PP,11:47,16.8,30,0.75,6,0.1,0.1,10,10,2.13,9:20,NA
30/06/2025,PP,12:35,16.8,30.5,0.5,5,0,0.1,10,10,1.89,9:20,NA
30/06/2025,PP,11:47,16.8,30.5,0.75,5,0.2,0.2,10,10,1.98,9:20,NA
30/06/2025,PP,12:35,16.8,31,0.5,4,0,0,10,10,1.69,9:20,NA
30/06/2025,PP,11:47,16.8,31,0.75,4,0.1,0.1,10,10,1.64,9:20,NA
30/06/2025,PP,12:35,16.8,31.5,0.5,3,0,0,10,10,1.84,9:20,NA
30/06/2025,PP,11:47,16.8,31.5,0.75,3,0.1,0.1,10,10,1.85,9:20,NA
30/06/2025,PP,12:35,16.8,32,0.5,2,0,0,10,10,1.63,9:20,NA
30/06/2025,PP,11:47,16.8,32,0.75,2,0.4,0.5,10,10,1.79,9:20,NA
30/06/2025,PP,12:35,16.8,32.5,0.5,1,0.3,0.3,10,10,1.29,9:20,NA
30/06/2025,PP,11:47,16.8,32.5,0.75,1,0.6,0.8,10,10,1.89,9:20,NA
30/06/2025,PP,10:47,16.8,30,6,6,0.4,0.4,10,10,2.11,9:20,NA
30/06/2025,PP,10:47,16.8,30.5,6,6,1,1,10,10,2,9:20,NA
30/06/2025,PP,13:06,16.8,32,0.25,2,0.2,0.2,10,10,1.5,9:20,NA
30/06/2025,PP,13:06,16.8,32,0.25,2,0.1,0.1,10,10,1.68,9:20,NA
30/06/2025,PP,17:01,16.8,32,0.25,1,0.2,0.2,10,10,1.89,9:20,NA
30/06/2025,PP,17:01,16.8,32,0.25,1,0.1,0.1,10,10,1.51,9:20,NA
30/06/2025,PP,13:06,16.8,32.5,0.25,1,0,0.1,10,10,1.45,9:20,NA
30/06/2025,PP,13:06,16.8,32.5,0.25,1,0.1,0.1,10,10,2.79,9:20,NA
30/06/2025,PP,17:01,16.8,32.5,0.25,2,0.3,0.3,10,10,1.47,9:20,NA
30/06/2025,PP,17:01,16.8,32.5,0.25,2,0,0,11,11,1.55,9:20,NA
