Cohort,Ploidy,Treatment,time,T,temperature,O,oxygen,total,survival,Ploidy_induction,Notes
ZB57,3,normoxia,180,39,39.3,100,98,2,1,NA,Excluded due to absence of induction efficiency success
ZB57,3,hyperoxia,56.3,39,38.8,225,198.2,2,2,NA,Excluded due to absence of induction efficiency success
ZB57,3,hypoxia,9.5,40,39.7,25,27.3,1,0,NA,Excluded due to absence of induction efficiency success
ZB57,3,normoxia,52.2,40,40.3,100,93.9,1,0,NA,Excluded due to absence of induction efficiency success
ZB57,3,hyperoxia,52.2,40,40.3,225,250.1,1,0,NA,Excluded due to absence of induction efficiency success
ZB58,2,hypoxia,8.5,40,40,25,27.3,2,0,100,NA
ZB58,2,normoxia,45,40,40.1,100,93.9,3,3,100,NA
ZB58,2,hyperoxia,45,40,39.7,225,250.1,3,0,100,NA
ZB58,2,hypoxia,30,39,39.1,25,21.5,3,0,100,NA
ZB58,2,normoxia,180,39,39.3,100,98,3,3,100,NA
ZB58,2,hyperoxia,56.3,39,38.8,225,198.2,3,3,100,NA
ZB58,2,hypoxia,9.5,40,39.7,25,27.3,3,0,100,NA
ZB58,2,normoxia,52.2,40,40.3,100,93.9,3,0,100,NA
ZB58,2,hyperoxia,52.2,40,40.3,225,250.1,3,0,100,NA
ZB59,3,hypoxia,8.5,40,40,25,27.3,3,0,NA,Excluded due to absence of induction efficiency success
ZB59,3,normoxia,45,40,40.1,100,93.9,3,0,NA,Excluded due to absence of induction efficiency success
ZB59,3,hyperoxia,45,40,39.7,225,250.1,3,1,NA,Excluded due to absence of induction efficiency success
ZB59,3,hypoxia,30,39,39.1,25,21.5,3,0,NA,Excluded due to absence of induction efficiency success
ZB59,3,normoxia,180,39,39.3,100,98,3,0,NA,Excluded due to absence of induction efficiency success
ZB59,3,hyperoxia,56.3,39,38.8,225,198.2,3,3,NA,Excluded due to absence of induction efficiency success
ZB59,3,hypoxia,9.5,40,39.7,25,27.3,3,0,NA,Excluded due to absence of induction efficiency success
ZB59,3,normoxia,52.2,40,40.3,100,93.9,3,0,NA,Excluded due to absence of induction efficiency success
ZB59,3,hyperoxia,52.2,40,40.3,225,250.1,3,0,NA,Excluded due to absence of induction efficiency success
ZB60,2,hypoxia,8.5,40,40,25,27.3,8,1,100,NA
ZB60,2,normoxia,45,40,40.1,100,93.9,7,0,100,NA
ZB60,2,hyperoxia,45,40,39.7,225,250.1,7,1,100,NA
ZB60,2,hypoxia,30,39,39.1,25,21.5,6,3,100,NA
ZB60,2,normoxia,180,39,39.3,100,98,6,4,100,NA
ZB60,2,hyperoxia,56.3,39,38.8,225,198.2,6,5,100,NA
ZB60,2,hypoxia,9.5,40,39.7,25,27.3,7,4,100,NA
ZB60,2,normoxia,52.2,40,40.3,100,93.9,7,0,100,NA
ZB60,2,hyperoxia,52.2,40,40.3,225,250.1,7,0,100,NA
ZB61,3,hypoxia,8.5,40,40,25,27.3,1,0,NA,Excluded due to absence of induction efficiency success
ZB61,3,normoxia,45,40,40.1,100,93.9,1,0,NA,Excluded due to absence of induction efficiency success
ZB61,3,hyperoxia,45,40,39.7,225,250.1,1,0,NA,Excluded due to absence of induction efficiency success
ZB61,3,hypoxia,30,39,39.1,25,21.5,1,1,NA,Excluded due to absence of induction efficiency success
ZB61,3,normoxia,180,39,39.3,100,98,1,1,NA,Excluded due to absence of induction efficiency success
ZB61,3,hyperoxia,56.3,39,38.8,225,198.2,1,1,NA,Excluded due to absence of induction efficiency success
ZB61,3,hypoxia,9.5,40,39.7,25,27.3,1,1,NA,Excluded due to absence of induction efficiency success
ZB61,3,normoxia,52.2,40,40.3,100,93.9,1,0,NA,Excluded due to absence of induction efficiency success
ZB61,3,hyperoxia,52.2,40,40.3,225,250.1,1,0,NA,Excluded due to absence of induction efficiency success
ZB62,2,hypoxia,8.5,40,40,25,27.3,5,0,100,NA
ZB62,2,normoxia,45,40,40.1,100,93.9,5,0,100,NA
ZB62,2,hyperoxia,45,40,39.7,225,250.1,5,0,100,NA
ZB62,2,hypoxia,30,39,39.1,25,21.5,5,0,100,NA
ZB62,2,normoxia,180,39,39.3,100,98,5,5,100,NA
ZB62,2,hyperoxia,56.3,39,38.8,225,198.2,5,5,100,NA
ZB62,2,hypoxia,9.5,40,39.7,25,27.3,4,1,100,NA
ZB62,2,normoxia,52.2,40,40.3,100,93.9,4,0,100,NA
ZB62,2,hyperoxia,52.2,40,40.3,225,250.1,4,0,100,NA
ZB63,3,hypoxia,22,38,38,25,30.8,3,3,NA,Excluded due to absence of induction efficiency success
ZB63,3,normoxia,180,38,38.1,100,112.5,3,3,NA,Excluded due to absence of induction efficiency success
ZB63,3,hyperoxia,180,38,38.1,225,227,3,0,NA,Excluded due to absence of induction efficiency success
ZB63,3,hypoxia,18.5,38,37.7,25,30.5,5,5,NA,Excluded due to absence of induction efficiency success
ZB63,3,normoxia,240,38,37.7,100,116.2,5,0,NA,Excluded due to absence of induction efficiency success
ZB63,3,hyperoxia,240,38,38.1,225,257,5,0,NA,Excluded due to absence of induction efficiency success
ZB63,3,hypoxia,26,38,38,25,30.5,3,3,NA,Excluded due to absence of induction efficiency success
ZB63,3,hypoxia,45,38,38,25,30.5,3,1,NA,Excluded due to absence of induction efficiency success
ZB63,3,hypoxia,30,38,38.1,25,30.8,3,1,NA,Excluded due to absence of induction efficiency success
ZB64,2,hypoxia,22,38,38,25,30.8,3,3,100,NA
ZB64,2,normoxia,180,38,38.1,100,112.5,2,2,100,NA
ZB64,2,hyperoxia,180,38,38.1,225,227,2,0,100,NA
ZB64,2,hypoxia,18.5,38,37.7,25,30.5,5,5,100,NA
ZB64,2,normoxia,240,38,37.7,100,116.2,5,0,100,NA
ZB64,2,hyperoxia,240,38,38.1,225,257,5,3,100,NA
ZB64,2,hypoxia,26,38,38,25,30.5,4,4,100,NA
ZB64,2,hypoxia,45,38,38,25,30.5,4,3,100,NA
ZB64,2,hypoxia,30,38,38.1,25,30.8,4,3,100,NA
ZB65,2,hypoxia,22,38,38,25,30.8,4,4,100,NA
ZB65,2,normoxia,180,38,38.1,100,112.5,3,3,100,NA
ZB65,2,hyperoxia,180,38,38.1,225,227,3,1,100,NA
ZB65,2,hypoxia,18.5,38,37.7,25,30.5,5,2,100,NA
ZB65,2,normoxia,240,38,37.7,100,116.2,5,0,100,NA
ZB65,2,hyperoxia,240,38,38.1,225,257,5,4,100,NA
ZB67,2,hypoxia,22,38,38,25,30.8,5,5,100,NA
ZB67,2,normoxia,180,38,38.1,100,112.5,5,5,100,NA
ZB67,2,hyperoxia,180,38,38.1,225,227,5,2,100,NA
ZB67,2,hypoxia,18.5,38,37.7,25,30.5,10,9,100,NA
ZB67,2,normoxia,240,38,37.7,100,116.2,10,0,100,NA
ZB67,2,hyperoxia,240,38,38.1,225,257,4,3,100,NA
ZB67,2,hypoxia,26,38,38,25,30.5,5,4,100,NA
ZB67,2,hypoxia,45,38,38,25,30.5,5,4,100,NA
ZB67,2,hypoxia,30,38,38.1,25,30.8,4,0,100,NA
ZB68,3,hypoxia,22,38,38,25,30.8,5,4,NA,Excluded due to absence of induction efficiency success
ZB68,3,normoxia,180,38,38.1,100,112.5,5,5,NA,Excluded due to absence of induction efficiency success
ZB68,3,hyperoxia,180,38,38.1,225,227,5,3,NA,Excluded due to absence of induction efficiency success
ZB68,3,hypoxia,18.5,38,37.7,25,30.5,5,5,NA,Excluded due to absence of induction efficiency success
ZB68,3,normoxia,240,38,37.7,100,116.2,5,0,NA,Excluded due to absence of induction efficiency success
ZB68,3,hyperoxia,240,38,38.1,225,257,5,3,NA,Excluded due to absence of induction efficiency success
ZB68,3,hypoxia,26,38,38,25,30.5,4,4,NA,Excluded due to absence of induction efficiency success
ZB68,3,hypoxia,45,38,38,25,30.5,4,4,NA,Excluded due to absence of induction efficiency success
ZB68,3,hypoxia,30,38,38.1,25,30.8,5,4,NA,Excluded due to absence of induction efficiency success
ZB69,3,hypoxia,52.5,38,37.7,25,25,5,4,NA,Excluded due to absence of induction efficiency success
ZB69,3,normoxia,240,38,37.8,100,94.3,5,0,NA,Excluded due to absence of induction efficiency success
ZB69,3,hyperoxia,210,38,37.8,225,298.7,3,0,NA,Excluded due to absence of induction efficiency success
ZB70,2,hypoxia,52.5,38,37.7,25,25,5,5,100,NA
ZB70,2,normoxia,240,38,37.8,100,94.3,5,1,100,NA
ZB70,2,hyperoxia,210,38,37.8,225,298.7,6,3,100,NA
ZB71,3,hypoxia,52.5,38,37.7,25,25,5,2,NA,Excluded due to absence of induction efficiency success
ZB71,3,normoxia,240,38,37.8,100,94.3,5,0,NA,Excluded due to absence of induction efficiency success
ZB71,3,hyperoxia,210,38,37.8,225,298.7,5,1,NA,Excluded due to absence of induction efficiency success
ZB72,2,hypoxia,52.5,38,37.7,25,25,5,5,100,NA
ZB72,2,normoxia,240,38,37.8,100,94.3,5,0,100,NA
ZB72,2,hyperoxia,210,38,37.8,225,298.7,5,2,100,NA
ZB72,2,hypoxia,45,38,37.8,25,26,7,7,100,NA
ZB72,2,hypoxia,30,38,37.8,25,26,7,7,100,NA
ZB74,2,hypoxia,52.5,38,37.7,25,25,5,5,100,NA
ZB74,2,normoxia,240,38,37.8,100,94.3,5,2,100,NA
ZB74,2,hyperoxia,210,38,37.8,225,298.7,5,1,100,NA
ZB75,3,hypoxia,52.5,38,37.7,25,25,5,5,NA,Excluded due to absence of induction efficiency success
ZB75,3,normoxia,240,38,37.8,100,94.3,5,0,NA,Excluded due to absence of induction efficiency success
ZB75,3,hyperoxia,210,38,37.8,225,298.7,3,0,NA,Excluded due to absence of induction efficiency success
ZB75,3,hypoxia,45,38,37.8,25,26,5,5,NA,Excluded due to absence of induction efficiency success
ZB75,3,hypoxia,30,38,37.8,25,26,5,5,NA,Excluded due to absence of induction efficiency success
ZB76,2,hypoxia,52.5,38,37.7,25,25,5,5,100,NA
ZB76,2,normoxia,240,38,37.8,100,94.3,5,0,100,NA
ZB76,2,hyperoxia,210,38,37.8,225,298.7,5,0,100,NA
ZB76,2,hypoxia,45,38,37.8,25,26,5,5,100,NA
ZB76,2,hypoxia,30,38,37.8,25,26,5,5,100,NA
ZB77,3,hypoxia,52.5,38,37.7,25,25,5,3,NA,Excluded due to absence of induction efficiency success
ZB77,3,normoxia,240,38,37.8,100,94.3,5,0,NA,Excluded due to absence of induction efficiency success
ZB78,2,hypoxia,45,38,37.8,25,26,4,4,100,NA
ZB78,2,hypoxia,30,38,37.8,25,26,4,4,100,NA
ZB79,3,hypoxia,45,38,37.8,25,26,3,2,NA,Excluded due to absence of induction efficiency success
ZB79,3,hypoxia,30,38,37.8,25,26,3,3,NA,Excluded due to absence of induction efficiency success
ZB80,2,hypoxia,11.22,38,37.6,25,24.3,1,1,100,NA
ZB80,2,normoxia,50,38,37.7,100,112.5,1,1,100,NA
ZB80,2,hyperoxia,80,38,38,225,250,1,1,100,NA
ZB80,2,normoxia,50,26,25.9,100,100.4,1,1,100,NA
ZB81,3,hypoxia,11.22,38,37.6,25,24.3,10,10,NA,Excluded due to absence of induction efficiency success
ZB81,3,normoxia,50,38,37.7,100,112.5,10,10,NA,Excluded due to absence of induction efficiency success
ZB81,3,hyperoxia,80,38,38,225,250,10,10,NA,Excluded due to absence of induction efficiency success
ZB81,3,normoxia,50,26,25.9,100,100.4,10,10,NA,Excluded due to absence of induction efficiency success
ZB82,2,hypoxia,11.22,38,37.6,25,24.3,2,2,100,NA
ZB82,2,normoxia,50,38,37.7,100,112.5,2,2,100,NA
ZB82,2,hyperoxia,80,38,38,225,250,2,2,100,NA
ZB82,2,normoxia,50,26,25.9,100,100.4,2,2,100,NA
ZB83,2,hypoxia,11.22,38,37.6,25,24.3,2,2,100,NA
ZB83,2,normoxia,50,38,37.7,100,112.5,2,2,100,NA
ZB83,2,hyperoxia,80,38,38,225,250,2,2,100,NA
ZB83,2,normoxia,50,26,25.9,100,100.4,2,2,100,NA
ZB84,3,hypoxia,11.22,38,37.6,25,24.3,4,4,83.3,NA
ZB84,3,normoxia,50,38,37.7,100,112.5,4,4,83.3,NA
ZB84,3,hyperoxia,80,38,38,225,250,4,4,83.3,NA
ZB84,3,normoxia,50,26,25.9,100,100.4,4,4,83.3,NA
ZB85,3,hypoxia,11.22,38,37.6,25,24.3,2,2,75,NA
ZB85,3,normoxia,50,38,37.7,100,112.5,2,2,75,NA
ZB85,3,hyperoxia,80,38,38,225,250,2,2,75,NA
ZB85,3,normoxia,50,26,25.9,100,100.4,2,2,75,NA
ZB86,2,hypoxia,11.22,38,37.6,25,24.3,6,6,100,NA
ZB86,2,normoxia,50,38,37.7,100,112.5,6,6,100,NA
ZB86,2,hyperoxia,80,38,38,225,250,6,6,100,NA
ZB86,2,normoxia,50,26,25.9,100,100.4,6,6,100,NA
ZB87,2,hypoxia,11.15,26,26,25,29.7,5,5,100,NA
ZB87,2,normoxia,50,26,26.3,100,96,5,5,100,NA
ZB87,2,hypoxia,11.15,38,37.6,25,24.1,5,5,100,NA
ZB87,2,normoxia,50,38,37.7,100,105.4,5,5,100,NA
ZB87,2,hypoxia,11.15,26,25.7,25,29,5,5,100,NA
ZB87,2,normoxia,50,26,26.3,100,96,5,5,100,NA
ZB87,2,hypoxia,11.15,38,38,25,26.7,5,5,100,NA
ZB87,2,normoxia,50,38,38.2,100,100,5,5,100,NA
ZB87,2,hypoxia,11.15,26,25.7,25,29,4,4,100,NA
ZB87,2,normoxia,50,26,26.4,100,97.8,5,5,100,NA
ZB87,2,hypoxia,11.15,38,37.8,25,26.7,4,4,100,NA
ZB87,2,normoxia,50,38,38.3,100,100,4,4,100,NA
ZB88,2,hypoxia,11.15,26,26,25,29.7,6,6,100,NA
ZB88,2,normoxia,50,26,26.3,100,96,6,6,100,NA
ZB88,2,hypoxia,11.15,38,37.6,25,24.1,6,6,100,NA
ZB88,2,normoxia,50,38,37.7,100,105.4,6,6,100,NA
ZB88,2,hypoxia,11.15,26,25.7,25,29,6,6,100,NA
ZB88,2,normoxia,50,26,26.3,100,96,6,6,100,NA
ZB88,2,hypoxia,11.15,38,38,25,26.7,6,6,100,NA
ZB88,2,normoxia,50,38,38.2,100,100,6,6,100,NA
ZB88,2,hypoxia,11.15,26,25.7,25,29,6,6,100,NA
ZB88,2,normoxia,50,26,26.4,100,97.8,6,6,100,NA
ZB88,2,hypoxia,11.15,38,37.8,25,26.7,4,4,100,NA
ZB88,2,normoxia,50,38,38.3,100,100,4,4,100,NA
ZB89,2,hypoxia,11.15,26,26,25,29.7,2,2,100,NA
ZB89,2,normoxia,50,26,26.3,100,96,2,2,100,NA
ZB89,2,hypoxia,11.15,38,37.6,25,24.1,2,2,100,NA
ZB89,2,normoxia,50,38,37.7,100,105.4,2,2,100,NA
ZB89,2,hypoxia,11.15,26,25.7,25,29,2,2,100,NA
ZB89,2,normoxia,50,26,26.3,100,96,2,2,100,NA
ZB89,2,hypoxia,11.15,38,38,25,26.7,2,2,100,NA
ZB89,2,normoxia,50,38,38.2,100,100,2,2,100,NA
ZB89,2,hypoxia,11.15,26,25.7,25,29,2,2,100,NA
ZB89,2,normoxia,50,26,26.4,100,97.8,2,2,100,NA
ZB89,2,hypoxia,11.15,38,37.8,25,26.7,3,3,100,NA
ZB89,2,normoxia,50,38,38.3,100,100,3,3,100,NA
ZB90,2,hypoxia,11.15,26,26,25,29.7,4,4,100,NA
ZB90,2,normoxia,50,26,26.3,100,96,4,4,100,NA
ZB90,2,hypoxia,11.15,38,37.6,25,24.1,4,4,100,NA
ZB90,2,normoxia,50,38,37.7,100,105.4,4,4,100,NA
ZB90,2,hypoxia,11.15,26,25.7,25,29,4,4,100,NA
ZB90,2,normoxia,50,26,26.3,100,96,4,4,100,NA
ZB90,2,hypoxia,11.15,38,38,25,26.7,4,4,100,NA
ZB90,2,normoxia,50,38,38.2,100,100,4,4,100,NA
ZB90,2,hypoxia,11.15,26,25.7,25,29,4,4,100,NA
ZB90,2,normoxia,50,26,26.4,100,97.8,4,4,100,NA
ZB90,2,hypoxia,11.15,38,37.8,25,26.7,3,3,100,NA
ZB90,2,normoxia,50,38,38.3,100,100,2,2,100,NA
ZB91,2,hypoxia,11.15,26,26,25,29.7,3,3,100,NA
ZB91,2,normoxia,50,26,26.3,100,96,3,3,100,NA
ZB91,2,hypoxia,11.15,38,37.6,25,24.1,3,3,100,NA
ZB91,2,normoxia,50,38,37.7,100,105.4,3,3,100,NA
ZB91,2,hypoxia,11.15,26,25.7,25,29,3,3,100,NA
ZB91,2,normoxia,50,26,26.3,100,96,2,2,100,NA
ZB91,2,hypoxia,11.15,38,38,25,26.7,2,2,100,NA
ZB91,2,normoxia,50,38,38.2,100,100,2,2,100,NA
ZB91,2,hypoxia,11.15,26,25.7,25,29,2,2,100,NA
ZB91,2,normoxia,50,26,26.4,100,97.8,2,2,100,NA
ZB91,2,hypoxia,11.15,38,37.8,25,26.7,2,2,100,NA
ZB91,2,normoxia,50,38,38.3,100,100,2,2,100,NA
ZB92,2,hypoxia,11.15,26,26,25,29.7,6,6,100,NA
ZB92,2,normoxia,50,26,26.3,100,96,6,6,100,NA
ZB92,2,hypoxia,11.15,38,37.6,25,24.1,5,5,100,NA
ZB92,2,normoxia,50,38,37.7,100,105.4,5,5,100,NA
ZB92,2,hypoxia,11.15,26,25.7,25,29,5,5,100,NA
ZB92,2,normoxia,50,26,26.3,100,96,5,5,100,NA
ZB92,2,hypoxia,11.15,38,38,25,26.7,5,5,100,NA
ZB92,2,normoxia,50,38,38.2,100,100,5,5,100,NA
ZB92,2,hypoxia,11.15,26,25.7,25,29,5,5,100,NA
ZB92,2,normoxia,50,26,26.4,100,97.8,5,5,100,NA
ZB92,2,hypoxia,11.15,38,37.8,25,26.7,5,5,100,NA
ZB92,2,normoxia,50,38,38.3,100,100,5,5,100,NA
ZB93,2,hypoxia,11.15,26,26,25,29.7,3,3,100,NA
ZB93,2,normoxia,50,26,26.3,100,96,3,3,100,NA
ZB93,2,hypoxia,11.15,38,37.6,25,24.1,3,3,100,NA
ZB93,2,normoxia,50,38,37.7,100,105.4,3,3,100,NA
ZB93,2,hypoxia,11.15,26,25.7,25,29,3,3,100,NA
ZB93,2,normoxia,50,26,26.3,100,96,3,3,100,NA
ZB93,2,hypoxia,11.15,38,38,25,26.7,3,3,100,NA
ZB93,2,normoxia,50,38,38.2,100,100,3,3,100,NA
ZB93,2,hypoxia,11.15,26,25.7,25,29,3,3,100,NA
ZB93,2,normoxia,50,26,26.4,100,97.8,3,3,100,NA
ZB93,2,hypoxia,11.15,38,37.8,25,26.7,3,3,100,NA
ZB93,2,normoxia,50,38,38.3,100,100,3,3,100,NA
ZB94,2,hypoxia,11.15,26,26,25,29.7,4,4,100,NA
ZB94,2,normoxia,50,26,26.3,100,96,3,3,100,NA
ZB94,2,hypoxia,11.15,38,37.6,25,24.1,3,3,100,NA
ZB94,2,normoxia,50,38,37.7,100,105.4,4,4,100,NA
ZB94,2,hypoxia,11.15,26,25.7,25,29,4,4,100,NA
ZB94,2,normoxia,50,26,26.3,100,96,4,4,100,NA
ZB94,2,hypoxia,11.15,38,38,25,26.7,4,4,100,NA
ZB94,2,normoxia,50,38,38.2,100,100,4,4,100,NA
ZB94,2,hypoxia,11.15,26,25.7,25,29,4,4,100,NA
ZB94,2,normoxia,50,26,26.4,100,97.8,4,4,100,NA
ZB94,2,hypoxia,11.15,38,37.8,25,26.7,4,4,100,NA
ZB94,2,normoxia,50,38,38.3,100,100,3,3,100,NA
ZB96,2,hypoxia,11.15,26,25.7,25,29,1,1,100,NA
ZB96,2,normoxia,50,26,26.4,100,97.8,2,2,100,NA
ZB96,2,hypoxia,11.15,38,37.8,25,26.7,2,2,100,NA
ZB96,2,normoxia,50,38,38.3,100,100,2,2,100,NA
ZB97,2,hypoxia,25,26,25.7,25,28.3,2,0,100,NA
ZB97,2,normoxia,89,26,26.4,100,90.4,2,2,100,NA
ZB97,2,hypoxia,25,38,37.7,25,29,2,1,100,NA
ZB97,2,normoxia,89,38,37.8,100,90.8,2,2,100,NA
ZB97,2,hypoxia,25,26,25.7,25,15,2,2,100,NA
ZB97,2,normoxia,89,26,26.4,100,93,2,2,100,NA
ZB97,2,hypoxia,25,38,37.7,25,28,2,1,100,NA
ZB97,2,normoxia,89,38,37.8,100,99.1,2,2,100,NA
ZB97,2,hypoxia,25,26,25.7,25,27,2,2,100,NA
ZB97,2,hypoxia,25,38,37.7,25,28.8,2,0,100,NA
ZB98,2,hypoxia,25,26,25.7,25,28.3,5,5,100,NA
ZB98,2,normoxia,89,26,26.4,100,90.4,5,5,100,NA
ZB98,2,hypoxia,25,38,37.7,25,29,5,5,100,NA
ZB98,2,normoxia,89,38,37.8,100,90.8,5,5,100,NA
ZB98,2,hypoxia,25,26,25.7,25,15,5,5,100,NA
ZB98,2,normoxia,89,26,26.4,100,93,5,5,100,NA
ZB98,2,hypoxia,25,38,37.7,25,28,5,4,100,NA
ZB98,2,normoxia,89,38,37.8,100,99.1,5,4,100,NA
ZB98,2,hypoxia,25,26,25.7,25,27,5,5,100,NA
ZB98,2,normoxia,89,26,26.3,100,94.3,7,7,100,NA
ZB98,2,hypoxia,25,38,37.7,25,28.8,5,1,100,NA
ZB98,2,normoxia,89,38,37.6,100,99.9,7,0,100,NA
ZB99,2,hypoxia,25,26,25.7,25,28.3,2,1,100,NA
ZB99,2,normoxia,89,26,26.4,100,90.4,2,2,100,NA
ZB99,2,hypoxia,25,38,37.7,25,29,2,1,100,NA
ZB99,2,normoxia,89,38,37.8,100,90.8,2,2,100,NA
